DATE,OPEN,HIGH,LOW,CLOSE,TICKVOL,VOL,SPREAD
2016.04.27,1242.81,1252.65,1239.34,1245.98,79779,77274543,15
2016.04.28,1245.40,1269.47,1237.68,1266.29,96276,69892613,24
2016.04.29,1265.94,1296.62,1264.91,1293.68,96260,74812175,24
2016.05.02,1292.65,1303.65,1287.56,1291.24,99573,85225652,24
2016.05.03,1292.09,1301.69,1282.19,1286.33,102238,85069093,24
2016.05.04,1285.54,1289.74,1271.71,1279.71,98352,76324451,20
2016.05.05,1279.62,1286.37,1268.79,1278.09,96196,73584762,24
2016.05.06,1277.49,1295.47,1274.38,1288.80,102388,74610613,24
2016.05.09,1284.19,1287.46,1261.21,1263.09,97003,72420823,24
2016.05.10,1264.03,1269.61,1256.78,1266.15,91871,70421653,24
2016.05.11,1266.06,1279.02,1264.72,1277.12,87560,64628869,24
2016.05.12,1277.49,1280.78,1261.78,1263.42,93154,74639910,19
2016.05.13,1264.09,1276.26,1262.88,1273.30,90666,69340509,24
2016.05.16,1272.72,1288.62,1270.92,1273.62,92709,71277876,24
2016.05.17,1274.08,1282.27,1269.02,1279.26,94512,73289625,24
2016.05.18,1280.28,1281.27,1254.97,1257.88,103039,84100564,24
2016.05.19,1258.63,1261.23,1243.66,1254.20,100952,78773244,24
2016.05.20,1255.67,1260.12,1248.74,1251.91,82646,63225307,24
2016.05.23,1250.34,1255.94,1243.08,1249.00,78212,62606635,24
2016.05.24,1248.74,1252.09,1226.19,1226.70,86416,71186997,24
2016.05.25,1227.47,1230.08,1217.74,1224.33,84697,68704164,24
2016.05.26,1223.38,1234.17,1218.30,1219.62,86862,68355782,24
2016.05.27,1220.13,1223.50,1206.67,1211.64,80518,59196682,17
2016.05.30,1212.93,1213.36,1199.62,1207.40,62275,51340429,24
2016.05.31,1207.08,1218.15,1207.03,1215.08,83400,63183232,24
2016.06.01,1216.02,1220.32,1205.91,1212.57,73712,57605489,24
2016.06.02,1212.84,1217.57,1209.75,1211.03,80205,64955577,24
2016.06.03,1210.32,1244.59,1206.85,1244.51,95631,70933431,24
2016.06.06,1244.00,1248.65,1239.92,1244.89,85410,68013175,24
2016.06.07,1244.94,1246.53,1234.72,1244.29,69612,54056927,21
2016.06.08,1244.63,1264.31,1242.98,1261.84,80598,59344033,24
2016.06.09,1261.60,1271.68,1256.74,1269.32,73697,59460063,21
2016.06.10,1269.28,1278.09,1264.51,1274.07,79722,65498089,24
2016.06.13,1274.69,1287.09,1272.35,1283.87,91171,70441259,24
2016.06.14,1283.26,1289.73,1276.31,1285.87,76419,56835696,24
2016.06.15,1284.83,1296.76,1278.38,1291.51,83156,64680980,24
2016.06.16,1293.17,1315.54,1277.97,1278.75,137515,104770521,24
2016.06.17,1278.98,1299.50,1276.48,1298.55,92427,67142673,24
2016.06.20,1286.09,1292.20,1277.93,1289.75,83392,67831187,24
2016.06.21,1289.73,1294.12,1264.44,1267.18,94042,75295404,24
2016.06.22,1269.60,1270.60,1261.13,1266.06,71310,59604278,24
2016.06.23,1263.54,1271.38,1254.37,1255.96,79791,59366382,24
2016.06.24,1253.05,1358.25,1250.34,1315.67,222646,109683461,24
2016.06.27,1326.11,1335.23,1317.57,1324.88,207364,113857441,24
2016.06.28,1324.04,1325.94,1305.40,1312.01,179206,85348878,24
2016.06.29,1311.83,1327.78,1311.41,1318.60,145541,83027699,24
